aircraft_id,aircraft_type,capacity,current_airport,status
AC001,A321,220,BOM,AVAILABLE
AC002,A321,220,CDG,AVAILABLE
AC003,B777,396,DEL,AVAILABLE
AC004,A321,220,ORD,AVAILABLE
AC005,A320,180,MEL,AVAILABLE
AC006,A380,484,JFK,AVAILABLE
AC007,B777,396,ICN,AVAILABLE
AC008,A320,180,DOH,MAINTENANCE
AC009,B777,396,BKK,AVAILABLE
AC010,A380,484,SIN,MAINTENANCE
AC011,A350,325,CDG,AVAILABLE
AC012,B777,396,IST,AVAILABLE
AC013,A380,484,SYD,AVAILABLE
AC014,A350,325,HKG,AVAILABLE
AC015,A380,484,BKK,AVAILABLE
AC016,B787,300,JFK,AVAILABLE
AC017,A321,220,SFO,AVAILABLE
AC018,A320,180,DOH,AVAILABLE
AC019,A380,484,FRA,AVAILABLE
AC020,A380,484,FRA,AVAILABLE
AC021,B787,300,CDG,MAINTENANCE
AC022,A321,220,HKG,AVAILABLE
AC023,A350,325,HKG,AVAILABLE
AC024,A321,220,CDG,AVAILABLE
AC025,A320,180,SIN,AVAILABLE
AC026,B777,396,BKK,MAINTENANCE
AC027,A350,325,ORD,AVAILABLE
AC028,A321,220,IST,AVAILABLE
AC029,B777,396,LHR,AVAILABLE
AC030,B787,300,CDG,AVAILABLE
