airport_code,airport_type,max_daily_movements,available_slots
DXB,HUB,120,73
LHR,HUB,81,67
JFK,HUB,97,68
BOM,MAJOR,64,39
DEL,MAJOR,56,47
SIN,HUB,85,64
DOH,HUB,107,60
FRA,HUB,81,46
CDG,HUB,93,65
AMS,MAJOR,82,64
IST,REGIONAL,26,22
HKG,HUB,92,76
SYD,MAJOR,64,49
MEL,MAJOR,87,64
BKK,REGIONAL,25,15
NRT,HUB,124,95
ICN,HUB,101,72
ORD,MAJOR,59,38
LAX,MAJOR,71,42
SFO,REGIONAL,30,22
SEA,REGIONAL,31,22
BOS,REGIONAL,47,33
ATL,REGIONAL,27,21
DFW,REGIONAL,59,35
YYZ,REGIONAL,49,28
YVR,REGIONAL,60,42
GRU,REGIONAL,48,32
MEX,REGIONAL,29,15
JNB,REGIONAL,39,33
CAI,REGIONAL,43,25
RUH,REGIONAL,39,34
AUH,REGIONAL,31,23
KUL,REGIONAL,42,30
CGK,REGIONAL,48,31
TPE,REGIONAL,48,37
PEK,REGIONAL,38,30
PVG,REGIONAL,42,34
HND,REGIONAL,29,24
AKL,REGIONAL,35,27
PER,REGIONAL,40,24
