iata_code,name,city,country
DXB,Dubai International Airport,Dubai,UAE
LHR,London Heathrow Airport,London,UK
JFK,John F. Kennedy International Airport,New York,USA
BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai,India
DEL,Indira Gandhi International Airport,Delhi,India
SIN,Singapore Changi Airport,Singapore,Singapore
DOH,Hamad International Airport,Doha,Qatar
FRA,Frankfurt Airport,Frankfurt,Germany
CDG,Charles de Gaulle Airport,Paris,France
AMS,Amsterdam Schiphol Airport,Amsterdam,Netherlands
IST,Istanbul Airport,Istanbul,Turkey
HKG,Hong Kong International Airport,Hong Kong,Hong Kong
SYD,Sydney Kingsford Smith Airport,Sydney,Australia
MEL,Melbourne Airport,Melbourne,Australia
BKK,Suvarnabhumi Airport,Bangkok,Thailand
NRT,Narita International Airport,Tokyo,Japan
ICN,Incheon International Airport,Seoul,South Korea
ORD,Chicago O'Hare International Airport,Chicago,USA
LAX,Los Angeles International Airport,Los Angeles,USA
SFO,San Francisco International Airport,San Francisco,USA
SEA,Seattle-Tacoma International Airport,Seattle,USA
BOS,Boston Logan International Airport,Boston,USA
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,USA
DFW,Dallas Fort Worth International Airport,Dallas,USA
YYZ,Toronto Pearson International Airport,Toronto,Canada
YVR,Vancouver International Airport,Vancouver,Canada
GRU,Sao Paulo Guarulhos International Airport,Sao Paulo,Brazil
MEX,Mexico City International Airport,Mexico City,Mexico
JNB,O.R. Tambo International Airport,Johannesburg,South Africa
CAI,Cairo International Airport,Cairo,Egypt
RUH,King Khalid International Airport,Riyadh,Saudi Arabia
AUH,Zayed International Airport,Abu Dhabi,UAE
KUL,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia
CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia
TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan
PEK,Beijing Capital International Airport,Beijing,China
PVG,Shanghai Pudong International Airport,Shanghai,China
HND,Tokyo Haneda Airport,Tokyo,Japan
AKL,Auckland Airport,Auckland,New Zealand
PER,Perth Airport,Perth,Australia
