connection_id,passenger_id,first_flight_id,second_flight_id,connection_airport,arrival_time,next_departure_time,connection_minutes
C00001,P01861,FL0024,FL0016,JFK,2026-10-06 03:45:00,2026-10-06 09:15:00,330
C00002,P00906,FL0136,FL0048,JFK,2026-10-03 18:00:00,2026-10-04 01:15:00,435
C00003,P01290,FL0074,FL0152,JFK,2026-10-04 03:15:00,2026-10-04 05:00:00,105
C00004,P00057,FL0193,FL0132,LHR,2026-10-07 00:30:00,2026-10-07 07:30:00,420
C00005,P01119,FL0132,FL0143,JFK,2026-10-07 15:30:00,2026-10-07 18:45:00,195
C00006,P00675,FL0134,FL0100,SIN,2026-10-02 20:45:00,2026-10-03 01:00:00,255
C00007,P01982,FL0027,FL0016,JFK,2026-10-06 04:00:00,2026-10-06 09:15:00,315
C00008,P01180,FL0096,FL0026,CDG,2026-10-03 04:30:00,2026-10-03 12:30:00,480
C00009,P00793,FL0012,FL0038,JFK,2026-10-05 17:30:00,2026-10-06 01:00:00,450
C00010,P00908,FL0136,FL0048,JFK,2026-10-03 18:00:00,2026-10-04 01:15:00,435
C00011,P01081,FL0158,FL0123,CDG,2026-10-06 09:00:00,2026-10-06 12:45:00,225
C00012,P01610,FL0083,FL0114,LHR,2026-10-02 08:30:00,2026-10-02 13:30:00,300
C00013,P01569,FL0027,FL0016,JFK,2026-10-06 04:00:00,2026-10-06 09:15:00,315
C00014,P00825,FL0144,FL0030,SIN,2026-10-01 19:30:00,2026-10-02 00:00:00,270
C00015,P00508,FL0009,FL0088,JFK,2026-10-01 21:45:00,2026-10-02 05:45:00,480
C00016,P00890,FL0193,FL0064,LHR,2026-10-07 00:30:00,2026-10-07 02:00:00,90
C00017,P01609,FL0125,FL0050,LAX,2026-10-07 07:45:00,2026-10-07 14:30:00,405
C00018,P01533,FL0132,FL0143,JFK,2026-10-07 15:30:00,2026-10-07 18:45:00,195
C00019,P01451,FL0136,FL0048,JFK,2026-10-03 18:00:00,2026-10-04 01:15:00,435
C00020,P00910,FL0182,FL0047,DOH,2026-10-04 07:30:00,2026-10-04 15:15:00,465
C00021,P01474,FL0051,FL0155,LHR,2026-10-07 06:45:00,2026-10-07 13:30:00,405
C00022,P01988,FL0195,FL0018,FRA,2026-10-03 09:00:00,2026-10-03 15:00:00,360
C00023,P00988,FL0145,FL0116,SIN,2026-10-04 20:15:00,2026-10-04 23:15:00,180
C00024,P01513,FL0157,FL0130,LAX,2026-10-05 11:30:00,2026-10-05 14:15:00,165
C00025,P01396,FL0065,FL0016,JFK,2026-10-06 08:00:00,2026-10-06 09:15:00,75
C00026,P00756,FL0110,FL0042,DXB,2026-10-04 00:15:00,2026-10-04 05:30:00,315
C00027,P00369,FL0167,FL0093,DXB,2026-10-02 09:15:00,2026-10-02 14:30:00,315
C00028,P00858,FL0089,FL0136,LHR,2026-10-03 07:30:00,2026-10-03 10:00:00,150
C00029,P01885,FL0065,FL0016,JFK,2026-10-06 08:00:00,2026-10-06 09:15:00,75
C00030,P00430,FL0083,FL0114,LHR,2026-10-02 08:30:00,2026-10-02 13:30:00,300
C00031,P00240,FL0127,FL0038,JFK,2026-10-05 21:00:00,2026-10-06 01:00:00,240
C00032,P00880,FL0190,FL0012,CDG,2026-10-05 05:15:00,2026-10-05 08:30:00,195
C00033,P00612,FL0190,FL0012,CDG,2026-10-05 05:15:00,2026-10-05 08:30:00,195
C00034,P00545,FL0012,FL0038,JFK,2026-10-05 17:30:00,2026-10-06 01:00:00,450
C00035,P01420,FL0126,FL0026,CDG,2026-10-03 05:45:00,2026-10-03 12:30:00,405
C00036,P01790,FL0119,FL0071,CDG,2026-10-07 13:15:00,2026-10-07 17:30:00,255
C00037,P00383,FL0060,FL0178,LHR,2026-10-07 01:30:00,2026-10-07 07:00:00,330
C00038,P01104,FL0085,FL0188,FRA,2026-10-06 14:00:00,2026-10-06 15:45:00,105
C00039,P00353,FL0136,FL0048,JFK,2026-10-03 18:00:00,2026-10-04 01:15:00,435
C00040,P01037,FL0195,FL0018,FRA,2026-10-03 09:00:00,2026-10-03 15:00:00,360
C00041,P01108,FL0089,FL0136,LHR,2026-10-03 07:30:00,2026-10-03 10:00:00,150
C00042,P00367,FL0132,FL0143,JFK,2026-10-07 15:30:00,2026-10-07 18:45:00,195
C00043,P00745,FL0099,FL0058,LHR,2026-10-01 16:15:00,2026-10-01 18:15:00,120
C00044,P01545,FL0136,FL0048,JFK,2026-10-03 18:00:00,2026-10-04 01:15:00,435
C00045,P00307,FL0122,FL0094,LHR,2026-10-07 01:15:00,2026-10-07 07:15:00,360
C00046,P01260,FL0145,FL0059,SIN,2026-10-04 20:15:00,2026-10-05 01:00:00,285
C00047,P01674,FL0018,FL0048,JFK,2026-10-04 00:00:00,2026-10-04 01:15:00,75
C00048,P00671,FL0108,FL0149,LAX,2026-10-04 02:30:00,2026-10-04 04:00:00,90
C00049,P01465,FL0123,FL0007,DXB,2026-10-06 19:45:00,2026-10-07 01:00:00,315
C00050,P01729,FL0089,FL0136,LHR,2026-10-03 07:30:00,2026-10-03 10:00:00,150
C00051,P01243,FL0154,FL0152,JFK,2026-10-04 00:45:00,2026-10-04 05:00:00,255
C00052,P01768,FL0042,FL0055,SIN,2026-10-04 12:30:00,2026-10-04 16:15:00,225
C00053,P01951,FL0147,FL0030,SIN,2026-10-01 20:30:00,2026-10-02 00:00:00,210
C00054,P01325,FL0085,FL0188,FRA,2026-10-06 14:00:00,2026-10-06 15:45:00,105
C00055,P01653,FL0096,FL0026,CDG,2026-10-03 04:30:00,2026-10-03 12:30:00,480
C00056,P01279,FL0126,FL0026,CDG,2026-10-03 05:45:00,2026-10-03 12:30:00,405
