assignment_id,crew_id,flight_id,role,status
CA000001,C00011,FL0858,FIRST_OFFICER,ASSIGNED
CA000002,C00013,FL0569,CAPTAIN,ASSIGNED
CA000003,C00016,FL0962,CABIN_CREW,ASSIGNED
CA000004,C00035,FL1681,CAPTAIN,ASSIGNED
CA000005,C00049,FL1858,CABIN_CREW,ASSIGNED
CA000006,C00055,FL1022,CABIN_CREW,ASSIGNED
CA000007,C00073,FL2956,CABIN_CREW,ASSIGNED
CA000008,C00126,FL2977,CABIN_CREW,ASSIGNED
CA000009,C00169,FL2163,CABIN_CREW,ASSIGNED
CA000010,C00172,FL1971,CABIN_CREW,ASSIGNED
CA000011,C00208,FL0301,CABIN_CREW,ASSIGNED
CA000012,C00221,FL2776,CABIN_CREW,ASSIGNED
CA000013,C00246,FL2777,CABIN_CREW,ASSIGNED
CA000014,C00287,FL2922,CAPTAIN,ASSIGNED
CA000015,C00320,FL0700,CAPTAIN,ASSIGNED
CA000016,C00332,FL2055,CABIN_CREW,ASSIGNED
CA000017,C00382,FL0453,CAPTAIN,ASSIGNED
CA000018,C00425,FL1911,CABIN_CREW,ASSIGNED
CA000019,C00436,FL1095,FIRST_OFFICER,ASSIGNED
CA000020,C00467,FL0635,CABIN_CREW,ASSIGNED
CA000021,C00473,FL1814,CABIN_CREW,ASSIGNED
CA000022,C00582,FL0113,CABIN_CREW,ASSIGNED
CA000023,C00583,FL2580,CABIN_CREW,ASSIGNED
