crew_id,aircraft_type,qualification_level,valid_until
C00001,A321,PRIMARY,2028-12-31
C00002,A321,PRIMARY,2028-12-31
C00002,B777,SECONDARY,2028-12-31
C00003,A321,PRIMARY,2028-12-31
C00004,A321,PRIMARY,2028-12-31
C00004,A320,SECONDARY,2028-12-31
C00005,A321,PRIMARY,2028-12-31
C00006,A321,PRIMARY,2028-12-31
C00007,A321,PRIMARY,2028-12-31
C00007,A320,SECONDARY,2028-12-31
C00008,A321,PRIMARY,2028-12-31
C00008,A350,SECONDARY,2028-12-31
C00009,B777,PRIMARY,2028-12-31
C00010,B777,PRIMARY,2028-12-31
C00011,A380,PRIMARY,2028-12-31
C00011,B777,SECONDARY,2028-12-31
C00012,A320,PRIMARY,2028-12-31
C00013,A350,PRIMARY,2028-12-31
C00014,A380,PRIMARY,2028-12-31
C00015,A320,PRIMARY,2028-12-31
C00016,B787,PRIMARY,2028-12-31
C00017,A380,PRIMARY,2028-12-31
C00018,A380,PRIMARY,2028-12-31
C00019,A320,PRIMARY,2028-12-31
C00019,B787,SECONDARY,2028-12-31
C00020,B777,PRIMARY,2028-12-31
C00021,A380,PRIMARY,2028-12-31
C00022,A380,PRIMARY,2028-12-31
C00023,B787,PRIMARY,2028-12-31
C00024,A380,PRIMARY,2028-12-31
C00025,B777,PRIMARY,2028-12-31
C00025,B787,SECONDARY,2028-12-31
C00026,A350,PRIMARY,2028-12-31
C00027,B787,PRIMARY,2028-12-31
C00028,A321,PRIMARY,2028-12-31
C00029,A350,PRIMARY,2028-12-31
C00030,B777,PRIMARY,2028-12-31
C00031,A320,PRIMARY,2028-12-31
C00032,A321,PRIMARY,2028-12-31
C00033,B787,PRIMARY,2028-12-31
C00034,A350,PRIMARY,2028-12-31
C00035,A380,PRIMARY,2028-12-31
C00036,A320,PRIMARY,2028-12-31
C00037,A321,PRIMARY,2028-12-31
C00037,A350,SECONDARY,2028-12-31
C00038,B777,PRIMARY,2028-12-31
C00039,A380,PRIMARY,2028-12-31
C00039,A320,SECONDARY,2028-12-31
C00040,A350,PRIMARY,2028-12-31
C00041,B777,PRIMARY,2028-12-31
C00042,A380,PRIMARY,2028-12-31
C00042,A320,SECONDARY,2028-12-31
C00043,B787,PRIMARY,2028-12-31
C00044,B777,PRIMARY,2028-12-31
C00045,A380,PRIMARY,2028-12-31
C00045,A321,SECONDARY,2028-12-31
C00046,B787,PRIMARY,2028-12-31
C00047,A350,PRIMARY,2028-12-31
C00048,B787,PRIMARY,2028-12-31
C00049,A321,PRIMARY,2028-12-31
C00050,A320,PRIMARY,2028-12-31
C00050,A380,SECONDARY,2028-12-31
C00051,B777,PRIMARY,2028-12-31
C00052,A350,PRIMARY,2028-12-31
C00052,A321,SECONDARY,2028-12-31
C00053,B777,PRIMARY,2028-12-31
C00053,A380,SECONDARY,2028-12-31
C00054,B787,PRIMARY,2028-12-31
C00055,A380,PRIMARY,2028-12-31
C00055,A320,SECONDARY,2028-12-31
C00056,B777,PRIMARY,2028-12-31
C00057,A380,PRIMARY,2028-12-31
C00058,A380,PRIMARY,2028-12-31
C00059,A350,PRIMARY,2028-12-31
C00060,B787,PRIMARY,2028-12-31
C00061,A321,PRIMARY,2028-12-31
C00061,B787,SECONDARY,2028-12-31
C00062,B777,PRIMARY,2028-12-31
C00062,A321,SECONDARY,2028-12-31
C00063,B787,PRIMARY,2028-12-31
C00064,A320,PRIMARY,2028-12-31
C00065,A321,PRIMARY,2028-12-31
C00065,B787,SECONDARY,2028-12-31
C00066,B777,PRIMARY,2028-12-31
C00067,A380,PRIMARY,2028-12-31
C00068,B777,PRIMARY,2028-12-31
C00069,B787,PRIMARY,2028-12-31
C00070,A350,PRIMARY,2028-12-31
C00070,A321,SECONDARY,2028-12-31
C00071,A320,PRIMARY,2028-12-31
C00072,A320,PRIMARY,2028-12-31
C00073,A320,PRIMARY,2028-12-31
C00074,B777,PRIMARY,2028-12-31
C00075,B777,PRIMARY,2028-12-31
C00076,A321,PRIMARY,2028-12-31
C00077,B777,PRIMARY,2028-12-31
C00078,A321,PRIMARY,2028-12-31
C00079,A350,PRIMARY,2028-12-31
C00080,B777,PRIMARY,2028-12-31
C00081,A380,PRIMARY,2028-12-31
C00082,B777,PRIMARY,2028-12-31
C00083,A350,PRIMARY,2028-12-31
C00084,A380,PRIMARY,2028-12-31
C00085,A321,PRIMARY,2028-12-31
C00086,A350,PRIMARY,2028-12-31
C00087,A350,PRIMARY,2028-12-31
C00088,B777,PRIMARY,2028-12-31
C00089,A350,PRIMARY,2028-12-31
C00090,A380,PRIMARY,2028-12-31
C00091,B787,PRIMARY,2028-12-31
C00092,B787,PRIMARY,2028-12-31
C00093,A380,PRIMARY,2028-12-31
C00094,B787,PRIMARY,2028-12-31
C00095,A321,PRIMARY,2028-12-31
C00096,B787,PRIMARY,2028-12-31
C00096,A320,SECONDARY,2028-12-31
C00097,A350,PRIMARY,2028-12-31
