disruption_id,flight_id,type,severity,status,description
D00001,FL0100,CREW_UNAVAILABLE,HIGH,CANCELLED,Crew Unavailable affecting flight FL0100
D00002,FL0146,WEATHER,HIGH,CANCELLED,Weather affecting flight FL0146
D00003,FL0079,AIRCRAFT_FAILURE,HIGH,CANCELLED,Aircraft Failure affecting flight FL0079
D00004,FL0189,ATC_RESTRICTION,MEDIUM,DELAYED,Atc Restriction affecting flight FL0189
D00005,FL0072,AIRCRAFT_FAILURE,HIGH,CANCELLED,Aircraft Failure affecting flight FL0072
D00006,FL0052,ATC_RESTRICTION,MEDIUM,DELAYED,Atc Restriction affecting flight FL0052
D00007,FL0200,CREW_UNAVAILABLE,HIGH,CANCELLED,Crew Unavailable affecting flight FL0200
D00008,FL0158,AIRPORT_CLOSURE,HIGH,CANCELLED,Airport Closure affecting flight FL0158
D00009,FL0046,ATC_RESTRICTION,MEDIUM,DELAYED,Atc Restriction affecting flight FL0046
D00010,FL0110,ATC_RESTRICTION,MEDIUM,DELAYED,Atc Restriction affecting flight FL0110
D00011,FL0197,ATC_RESTRICTION,MEDIUM,DELAYED,Atc Restriction affecting flight FL0197
D00012,FL0136,AIRCRAFT_FAILURE,HIGH,CANCELLED,Aircraft Failure affecting flight FL0136
D00013,FL0178,WEATHER,MEDIUM,CANCELLED,Weather affecting flight FL0178
D00014,FL0039,AIRCRAFT_FAILURE,HIGH,CANCELLED,Aircraft Failure affecting flight FL0039
D00015,FL0129,WEATHER,HIGH,DELAYED,Weather affecting flight FL0129
D00016,FL0103,WEATHER,HIGH,DELAYED,Weather affecting flight FL0103
D00017,FL0044,AIRPORT_CLOSURE,HIGH,CANCELLED,Airport Closure affecting flight FL0044
D00018,FL0018,AIRCRAFT_FAILURE,HIGH,CANCELLED,Aircraft Failure affecting flight FL0018
D00019,FL0030,AIRPORT_CLOSURE,HIGH,CANCELLED,Airport Closure affecting flight FL0030
D00020,FL0092,AIRPORT_CLOSURE,HIGH,CANCELLED,Airport Closure affecting flight FL0092
