rotation_id,aircraft_id,flight_id,leg_number
R000001,AC001,FL2811,1
R000002,AC001,FL1581,1
R000003,AC001,FL1405,1
R000004,AC001,FL0450,1
R000005,AC001,FL2733,2
R000006,AC001,FL1297,1
R000007,AC001,FL1611,1
R000008,AC001,FL1164,2
R000009,AC001,FL1085,3
R000010,AC001,FL1791,1
R000011,AC001,FL0998,1
R000012,AC001,FL2304,1
R000013,AC001,FL1383,1
R000014,AC001,FL0124,2
R000015,AC001,FL1284,1
R000016,AC001,FL0146,2
R000017,AC001,FL2984,1
R000018,AC001,FL2147,1
R000019,AC001,FL0814,1
R000020,AC001,FL0106,2
R000021,AC001,FL1810,1
R000022,AC001,FL1230,1
R000023,AC001,FL1281,1
R000024,AC001,FL2155,1
R000025,AC001,FL2086,1
R000026,AC001,FL2569,2
R000027,AC001,FL1460,3
R000028,AC001,FL0130,1
R000029,AC001,FL1812,2
R000030,AC001,FL1078,3
R000031,AC002,FL1756,1
R000032,AC002,FL2047,1
R000033,AC002,FL1104,1
R000034,AC002,FL2275,1
R000035,AC002,FL1960,1
R000036,AC002,FL1449,1
R000037,AC002,FL2244,2
R000038,AC002,FL0505,1
R000039,AC002,FL2297,1
R000040,AC002,FL2397,1
R000041,AC002,FL0991,2
R000042,AC002,FL0581,1
R000043,AC002,FL2986,2
R000044,AC002,FL1411,1
R000045,AC002,FL0776,1
R000046,AC002,FL2905,2
R000047,AC002,FL0207,1
R000048,AC002,FL1188,1
R000049,AC002,FL2313,2
R000050,AC002,FL0150,1
R000051,AC002,FL2648,1
R000052,AC002,FL1156,1
R000053,AC002,FL2672,2
R000054,AC002,FL2172,3
R000055,AC002,FL2513,1
R000056,AC002,FL0809,1
R000057,AC002,FL2943,2
R000058,AC002,FL1278,1
R000059,AC002,FL2716,1
R000060,AC002,FL1000,2
R000061,AC002,FL1691,3
R000062,AC003,FL0074,1
R000063,AC003,FL1655,2
R000064,AC003,FL2747,1
R000065,AC003,FL2134,2
R000066,AC003,FL2613,3
R000067,AC003,FL2064,4
R000068,AC003,FL2443,5
R000069,AC003,FL2790,1
R000070,AC003,FL2445,2
R000071,AC003,FL0350,1
R000072,AC003,FL1695,2
R000073,AC003,FL0498,1
R000074,AC003,FL1754,2
R000075,AC003,FL0208,1
R000076,AC003,FL1985,2
R000077,AC003,FL0387,1
R000078,AC003,FL2375,1
R000079,AC003,FL0939,2
R000080,AC003,FL0545,3
R000081,AC003,FL0496,4
R000082,AC003,FL1390,1
R000083,AC003,FL2129,2
R000084,AC003,FL1454,1
R000085,AC003,FL1621,1
R000086,AC003,FL1002,2
R000087,AC004,FL0307,1
R000088,AC004,FL0083,2
R000089,AC004,FL2839,1
R000090,AC004,FL0050,1
R000091,AC004,FL1016,1
R000092,AC004,FL0222,2
R000093,AC004,FL0356,3
R000094,AC004,FL1883,1
R000095,AC004,FL2325,2
R000096,AC004,FL0611,1
R000097,AC004,FL0406,1
R000098,AC004,FL0249,1
R000099,AC004,FL2983,2
R000100,AC004,FL1431,1
R000101,AC004,FL2425,2
R000102,AC004,FL0690,3
R000103,AC004,FL2651,1
R000104,AC004,FL1508,1
R000105,AC004,FL2619,1
R000106,AC004,FL2002,1
R000107,AC004,FL0309,2
R000108,AC004,FL0204,3
R000109,AC004,FL0973,1
R000110,AC004,FL1855,1
R000111,AC004,FL0055,2
R000112,AC004,FL0113,1
R000113,AC004,FL0544,1
R000114,AC004,FL1792,2
R000115,AC004,FL2141,3
R000116,AC004,FL1387,1
R000117,AC004,FL0085,2
R000118,AC004,FL0273,3
R000119,AC004,FL1788,4
R000120,AC004,FL0047,5
R000121,AC004,FL2661,1
R000122,AC004,FL1290,1
R000123,AC005,FL1741,1
R000124,AC005,FL1294,1
R000125,AC005,FL2326,1
R000126,AC005,FL0507,1
R000127,AC005,FL1171,1
R000128,AC005,FL1168,2
R000129,AC005,FL1121,1
R000130,AC005,FL2526,2
R000131,AC005,FL2354,1
R000132,AC005,FL2286,1
R000133,AC005,FL2110,1
R000134,AC005,FL0080,2
R000135,AC005,FL0115,3
R000136,AC005,FL0988,4
R000137,AC005,FL0587,5
R000138,AC005,FL2370,1
R000139,AC005,FL1898,1
R000140,AC005,FL1995,2
R000141,AC005,FL2206,1
R000142,AC005,FL1768,2
R000143,AC005,FL1072,1
R000144,AC005,FL2373,1
R000145,AC005,FL0819,1
R000146,AC005,FL0715,1
R000147,AC005,FL0481,2
R000148,AC005,FL0976,3
R000149,AC005,FL1098,1
R000150,AC005,FL2121,1
R000151,AC005,FL1775,1
R000152,AC005,FL2087,2
R000153,AC005,FL2744,1
R000154,AC006,FL2205,1
R000155,AC006,FL2163,2
R000156,AC006,FL1965,3
R000157,AC006,FL2609,1
R000158,AC006,FL0764,1
R000159,AC006,FL1802,2
R000160,AC006,FL1448,1
R000161,AC006,FL0698,1
R000162,AC006,FL0090,2
R000163,AC006,FL0065,3
R000164,AC006,FL1879,4
R000165,AC006,FL1851,5
R000166,AC006,FL1634,6
R000167,AC006,FL2697,7
R000168,AC006,FL2316,1
R000169,AC006,FL1720,1
R000170,AC006,FL0025,2
R000171,AC006,FL2911,1
R000172,AC006,FL1136,2
R000173,AC006,FL0568,1
R000174,AC007,FL0910,1
R000175,AC007,FL1677,1
R000176,AC007,FL2272,2
R000177,AC007,FL0166,3
R000178,AC007,FL2000,4
R000179,AC007,FL2184,1
R000180,AC007,FL0676,1
R000181,AC007,FL0566,1
R000182,AC007,FL2618,2
R000183,AC007,FL2957,1
R000184,AC007,FL1800,1
R000185,AC007,FL2049,2
R000186,AC007,FL2331,3
R000187,AC007,FL1931,4
R000188,AC007,FL1275,5
R000189,AC007,FL1389,6
R000190,AC007,FL2906,1
R000191,AC007,FL2910,1
R000192,AC007,FL2971,1
R000193,AC007,FL0039,1
R000194,AC007,FL0674,2
R000195,AC007,FL0907,3
R000196,AC007,FL2933,4
R000197,AC007,FL1235,5
R000198,AC007,FL2364,6
R000199,AC007,FL0556,1
R000200,AC007,FL0602,1
R000201,AC007,FL0250,1
R000202,AC008,FL1589,1
R000203,AC008,FL0069,1
R000204,AC008,FL2718,1
R000205,AC008,FL1956,2
R000206,AC008,FL0389,1
R000207,AC008,FL2436,2
R000208,AC008,FL2708,3
R000209,AC008,FL1507,4
R000210,AC008,FL1416,5
R000211,AC008,FL2341,6
R000212,AC008,FL2534,1
R000213,AC008,FL2543,2
R000214,AC008,FL1059,3
R000215,AC008,FL2173,1
R000216,AC008,FL2749,1
R000217,AC008,FL1324,2
R000218,AC008,FL2978,1
R000219,AC008,FL1651,2
R000220,AC008,FL2862,1
R000221,AC008,FL1233,2
R000222,AC008,FL2736,1
R000223,AC008,FL1288,1
R000224,AC008,FL0745,1
R000225,AC008,FL1890,1
R000226,AC008,FL2762,1
R000227,AC008,FL0287,1
R000228,AC008,FL2437,2
R000229,AC008,FL0961,1
R000230,AC008,FL2200,2
R000231,AC008,FL1806,3
R000232,AC008,FL2412,1
R000233,AC008,FL2492,1
R000234,AC008,FL0861,1
R000235,AC008,FL0589,1
R000236,AC008,FL2266,1
R000237,AC009,FL0503,1
R000238,AC009,FL0638,1
R000239,AC009,FL0021,1
R000240,AC009,FL1758,2
R000241,AC009,FL2581,1
R000242,AC009,FL0953,1
R000243,AC009,FL1082,1
R000244,AC009,FL2594,2
R000245,AC009,FL1584,1
R000246,AC009,FL2201,2
R000247,AC009,FL0726,3
R000248,AC009,FL1999,1
R000249,AC009,FL1654,1
R000250,AC009,FL2764,2
R000251,AC009,FL0777,3
R000252,AC009,FL1197,4
R000253,AC009,FL0261,5
R000254,AC009,FL0921,6
R000255,AC009,FL2520,7
R000256,AC009,FL2195,1
R000257,AC009,FL2638,1
R000258,AC009,FL0993,1
R000259,AC009,FL1604,2
R000260,AC010,FL2591,1
R000261,AC010,FL2312,2
R000262,AC010,FL2036,3
R000263,AC010,FL2702,1
R000264,AC010,FL0493,1
R000265,AC010,FL0199,1
R000266,AC010,FL0413,2
R000267,AC010,FL0741,3
R000268,AC010,FL2975,4
R000269,AC010,FL2810,1
R000270,AC010,FL1994,1
R000271,AC010,FL1668,1
R000272,AC010,FL0582,1
R000273,AC010,FL2207,1
R000274,AC010,FL1702,1
R000275,AC010,FL0799,2
R000276,AC010,FL1399,1
R000277,AC010,FL2415,1
R000278,AC010,FL0754,1
R000279,AC010,FL0460,1
R000280,AC010,FL0271,2
R000281,AC010,FL2573,3
R000282,AC010,FL1093,4
R000283,AC010,FL1488,5
R000284,AC010,FL1226,1
R000285,AC010,FL2123,1
R000286,AC010,FL1323,2
R000287,AC010,FL1789,1
R000288,AC011,FL1808,1
R000289,AC011,FL2183,1
R000290,AC011,FL0187,2
R000291,AC011,FL0632,1
R000292,AC011,FL0393,1
R000293,AC011,FL0153,1
R000294,AC011,FL2368,2
R000295,AC011,FL2952,1
R000296,AC011,FL0256,1
R000297,AC011,FL1944,2
R000298,AC011,FL2320,1
R000299,AC011,FL1341,2
R000300,AC011,FL0847,3
R000301,AC011,FL1131,4
R000302,AC011,FL1468,1
R000303,AC011,FL0126,1
R000304,AC011,FL1261,1
R000305,AC011,FL2228,2
R000306,AC011,FL1503,1
R000307,AC011,FL2054,1
R000308,AC011,FL0415,2
R000309,AC011,FL0121,1
R000310,AC011,FL2765,1
R000311,AC011,FL0664,1
R000312,AC011,FL2332,2
R000313,AC012,FL1183,1
R000314,AC012,FL0952,1
R000315,AC012,FL1036,2
R000316,AC012,FL1122,1
R000317,AC012,FL1832,1
R000318,AC012,FL2515,2
R000319,AC012,FL1021,1
R000320,AC012,FL2347,2
R000321,AC012,FL2309,3
R000322,AC012,FL2221,1
R000323,AC012,FL1803,1
R000324,AC012,FL0488,2
R000325,AC012,FL2511,3
R000326,AC012,FL0713,4
R000327,AC012,FL2441,1
R000328,AC012,FL0158,2
R000329,AC012,FL1692,1
R000330,AC012,FL2523,2
R000331,AC012,FL0334,1
R000332,AC012,FL2794,1
R000333,AC012,FL2070,1
R000334,AC012,FL0864,1
R000335,AC012,FL1940,1
R000336,AC012,FL2652,2
R000337,AC012,FL2280,3
R000338,AC012,FL0254,1
R000339,AC013,FL1993,1
R000340,AC013,FL1847,2
R000341,AC013,FL0310,3
R000342,AC013,FL2841,1
R000343,AC013,FL2227,2
R000344,AC013,FL2311,3
R000345,AC013,FL0228,4
R000346,AC013,FL2136,1
R000347,AC013,FL2334,1
R000348,AC013,FL2780,1
R000349,AC013,FL0583,1
R000350,AC013,FL0428,2
R000351,AC013,FL1676,3
R000352,AC013,FL0761,4
R000353,AC013,FL2482,1
R000354,AC013,FL1592,2
R000355,AC013,FL2757,3
R000356,AC013,FL0183,1
R000357,AC013,FL0906,1
R000358,AC013,FL1777,1
R000359,AC013,FL2998,1
R000360,AC013,FL2830,2
R000361,AC013,FL1672,3
R000362,AC013,FL0418,1
R000363,AC013,FL2546,1
R000364,AC013,FL0978,1
R000365,AC013,FL1143,1
R000366,AC013,FL0421,1
R000367,AC013,FL0751,1
R000368,AC013,FL0520,2
R000369,AC013,FL1268,3
R000370,AC013,FL0143,1
R000371,AC014,FL2177,1
R000372,AC014,FL2514,1
R000373,AC014,FL1639,1
R000374,AC014,FL1465,1
R000375,AC014,FL2857,1
R000376,AC014,FL2167,2
R000377,AC014,FL1298,1
R000378,AC014,FL1020,1
R000379,AC014,FL2349,2
R000380,AC014,FL2111,1
R000381,AC014,FL2130,2
R000382,AC014,FL1384,1
R000383,AC014,FL2138,1
R000384,AC014,FL2127,1
R000385,AC014,FL0930,1
R000386,AC014,FL1107,1
R000387,AC014,FL2051,1
R000388,AC014,FL0458,2
R000389,AC014,FL2431,1
R000390,AC014,FL0469,1
R000391,AC014,FL1118,2
R000392,AC014,FL2477,1
R000393,AC014,FL0773,2
R000394,AC014,FL0691,3
R000395,AC014,FL2386,1
R000396,AC014,FL0844,1
R000397,AC014,FL0275,1
R000398,AC014,FL1335,1
R000399,AC014,FL1380,2
R000400,AC014,FL2539,1
R000401,AC014,FL1017,1
R000402,AC014,FL0688,2
R000403,AC014,FL0734,1
R000404,AC014,FL1623,2
R000405,AC015,FL2584,1
R000406,AC015,FL1540,2
R000407,AC015,FL1817,1
R000408,AC015,FL2068,2
R000409,AC015,FL2243,3
R000410,AC015,FL1365,4
R000411,AC015,FL2260,1
R000412,AC015,FL0731,1
R000413,AC015,FL2401,2
R000414,AC015,FL2448,3
R000415,AC015,FL1031,1
R000416,AC015,FL0750,2
R000417,AC015,FL0091,3
R000418,AC015,FL2413,4
R000419,AC015,FL2102,5
R000420,AC015,FL1179,1
R000421,AC015,FL1217,2
R000422,AC015,FL2074,3
R000423,AC015,FL2327,4
R000424,AC015,FL0020,5
R000425,AC015,FL0962,1
R000426,AC015,FL2976,1
R000427,AC015,FL0527,1
R000428,AC016,FL1872,1
R000429,AC016,FL0580,1
R000430,AC016,FL0104,1
R000431,AC016,FL2246,1
R000432,AC016,FL1436,1
R000433,AC016,FL0008,1
R000434,AC016,FL0004,1
R000435,AC016,FL2384,1
R000436,AC016,FL1656,1
R000437,AC016,FL0975,1
R000438,AC016,FL2680,2
R000439,AC016,FL2210,1
R000440,AC016,FL1077,1
R000441,AC016,FL0445,2
R000442,AC016,FL2840,3
R000443,AC016,FL0709,1
R000444,AC016,FL2960,1
R000445,AC016,FL2844,1
R000446,AC016,FL1004,1
R000447,AC016,FL2069,2
R000448,AC016,FL1332,1
R000449,AC016,FL2279,2
R000450,AC016,FL1579,1
R000451,AC016,FL1805,1
R000452,AC016,FL0911,2
R000453,AC016,FL0928,3
R000454,AC016,FL0049,1
R000455,AC016,FL2567,1
R000456,AC016,FL2135,2
R000457,AC016,FL2659,1
R000458,AC016,FL0332,1
R000459,AC016,FL0105,2
R000460,AC016,FL0424,3
R000461,AC016,FL1888,4
R000462,AC016,FL2924,1
R000463,AC017,FL2829,1
R000464,AC017,FL1943,2
R000465,AC017,FL0774,1
R000466,AC017,FL0870,2
R000467,AC017,FL0203,1
R000468,AC017,FL2072,2
R000469,AC017,FL0786,3
R000470,AC017,FL2142,4
R000471,AC017,FL0185,1
R000472,AC017,FL0401,2
