flight_id,origin,destination,departure,arrival,aircraft_id,capacity,occupied_seats,available_seats,status
FL0001,NRT,SIN,2026-10-01 10:00:00,2026-10-01 17:00:00,AC006,484,296,188,SCHEDULED
FL0002,NRT,SIN,2026-10-01 11:00:00,2026-10-01 18:00:00,AC016,300,292,8,SCHEDULED
FL0003,NRT,SIN,2026-10-01 12:30:00,2026-10-01 19:30:00,AC007,396,391,5,SCHEDULED
FL0004,NRT,SIN,2026-10-01 18:00:00,2026-10-02 01:00:00,AC006,484,482,2,SCHEDULED
FL0005,SIN,BKK,2026-10-01 20:30:00,2026-10-01 22:30:00,AC028,220,150,70,SCHEDULED
FL0006,DXB,FRA,2026-10-06 21:45:00,2026-10-07 04:45:00,AC019,484,406,78,SCHEDULED
FL0007,DOH,JFK,2026-10-02 14:15:00,2026-10-03 04:15:00,AC015,484,305,179,SCHEDULED
FL0008,NRT,LAX,2026-10-05 14:45:00,2026-10-06 00:45:00,AC025,180,141,39,SCHEDULED
FL0009,LHR,AMS,2026-10-02 10:45:00,2026-10-02 12:45:00,AC005,180,101,79,SCHEDULED
FL0010,NRT,SIN,2026-10-01 09:15:00,2026-10-01 16:15:00,AC015,484,402,82,SCHEDULED
FL0011,DXB,DOH,2026-10-07 19:00:00,2026-10-07 20:00:00,AC018,180,139,41,SCHEDULED
FL0012,LHR,BOM,2026-10-05 20:30:00,2026-10-06 05:30:00,AC030,300,220,80,SCHEDULED
FL0013,JFK,SFO,2026-10-01 09:30:00,2026-10-01 15:30:00,AC007,396,285,111,SCHEDULED
FL0014,DXB,DEL,2026-10-03 19:15:00,2026-10-03 22:15:00,AC006,484,358,126,SCHEDULED
FL0015,DXB,LHR,2026-10-06 14:15:00,2026-10-06 22:15:00,AC026,396,327,69,SCHEDULED
FL0016,DXB,DEL,2026-10-07 15:15:00,2026-10-07 18:15:00,AC025,180,109,71,SCHEDULED
FL0017,LHR,AMS,2026-10-07 11:00:00,2026-10-07 13:00:00,AC024,220,186,34,SCHEDULED
FL0018,LHR,CDG,2026-10-04 06:00:00,2026-10-04 08:00:00,AC016,300,268,32,SCHEDULED
FL0019,LHR,AMS,2026-10-07 15:15:00,2026-10-07 17:15:00,AC019,484,256,228,SCHEDULED
FL0020,DXB,CDG,2026-10-05 08:00:00,2026-10-05 15:00:00,AC018,180,152,28,SCHEDULED
FL0021,LAX,SFO,2026-10-01 10:15:00,2026-10-01 11:15:00,AC019,484,410,74,SCHEDULED
FL0022,DOH,SIN,2026-10-05 11:30:00,2026-10-05 19:30:00,AC021,300,217,83,SCHEDULED
FL0023,JFK,SFO,2026-10-05 19:15:00,2026-10-06 01:15:00,AC018,180,159,21,SCHEDULED
FL0024,NRT,SIN,2026-10-06 12:30:00,2026-10-06 19:30:00,AC009,396,300,96,SCHEDULED
FL0025,CDG,JFK,2026-10-06 17:45:00,2026-10-07 02:45:00,AC021,300,265,35,SCHEDULED
FL0026,SIN,SYD,2026-10-04 09:15:00,2026-10-04 17:15:00,AC014,325,219,106,SCHEDULED
