weather_id,airport_code,date,condition,severity,visibility_km,wind_speed_kmh
W000001,DXB,2026-10-01,CLEAR,LOW,1.7,65
W000002,LHR,2026-10-01,SNOW,MEDIUM,11.1,78
W000003,JFK,2026-10-01,SNOW,MEDIUM,15.2,23
W000004,BOM,2026-10-01,HIGH_WINDS,MEDIUM,7.1,49
W000005,DEL,2026-10-01,RAIN,MEDIUM,2.5,32
W000006,SIN,2026-10-01,HIGH_WINDS,HIGH,4.0,63
W000007,DOH,2026-10-01,CLEAR,LOW,16.2,31
W000008,FRA,2026-10-01,STORM,MEDIUM,10.8,60
W000009,CDG,2026-10-01,STORM,HIGH,9.8,30
W000010,AMS,2026-10-01,HIGH_WINDS,MEDIUM,13.4,31
W000011,IST,2026-10-01,SNOW,MEDIUM,2.9,74
W000012,HKG,2026-10-01,CLOUDY,MEDIUM,9.0,73
W000013,SYD,2026-10-01,SNOW,MEDIUM,9.4,15
W000014,MEL,2026-10-01,HIGH_WINDS,HIGH,7.5,44
W000015,BKK,2026-10-01,CLEAR,LOW,20.0,17
W000016,NRT,2026-10-01,CLEAR,LOW,3.7,40
W000017,ICN,2026-10-01,CLOUDY,MEDIUM,4.8,75
W000018,ORD,2026-10-01,CLEAR,LOW,11.9,29
W000019,LAX,2026-10-01,STORM,HIGH,5.8,25
W000020,SFO,2026-10-01,SNOW,HIGH,4.5,69
W000021,SEA,2026-10-01,CLEAR,LOW,18.4,14
W000022,BOS,2026-10-01,CLOUDY,MEDIUM,19.9,36
W000023,ATL,2026-10-01,FOG,MEDIUM,6.4,75
W000024,DFW,2026-10-01,HIGH_WINDS,MEDIUM,7.5,48
W000025,YYZ,2026-10-01,HIGH_WINDS,MEDIUM,19.6,11
W000026,YVR,2026-10-01,RAIN,MEDIUM,17.8,80
W000027,GRU,2026-10-01,SNOW,HIGH,18.4,56
W000028,MEX,2026-10-01,STORM,HIGH,17.0,78
W000029,JNB,2026-10-01,CLEAR,LOW,17.2,24
W000030,CAI,2026-10-01,STORM,MEDIUM,8.7,25
W000031,RUH,2026-10-01,CLEAR,LOW,14.4,59
W000032,AUH,2026-10-01,CLEAR,LOW,3.2,61
W000033,KUL,2026-10-01,CLEAR,LOW,8.1,52
W000034,CGK,2026-10-01,STORM,HIGH,13.9,61
